bulk0,bulk1,bulk2,bulk3,client_bulks,client_bulksize_avg,client_bulksize_dev,client_bytes,client_packet0,client_packet1,client_packets,client_packetsize_avg,client_packetsize_dev,client_payload,is_tcp,proto,server_bulks,server_bulksize_avg,server_bulksize_dev,server_bytes,server_packet0,server_packet1,server_packets,server_packetsize_avg,server_packetsize_dev,server_payload,subproto
72,124,0,0,1,72.0,0.0,112,92,20,2,56.0,36.0,72,1,SSL,1,124.0,0.0,144,144,0,1,144.0,0.0,124,
48,48,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,1,48.0,0.0,56,56,0,1,56.0,0.0,48,
48,48,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,1,48.0,0.0,56,56,0,1,56.0,0.0,48,
33,98,0,0,1,33.0,0.0,41,41,0,1,41.0,0.0,33,0,DNS,1,98.0,0.0,106,106,0,1,106.0,0.0,98,
41,105,0,0,1,41.0,0.0,49,49,0,1,49.0,0.0,41,0,DNS,1,105.0,0.0,113,113,0,1,113.0,0.0,105,Google
217,2402,645,327,6,178.16666666666666,217.66137053281233,2353,237,20,60,39.21666666666667,51.575863756433804,1069,1,SSL,5,27304.6,53206.01406457732,138563,20,1480,102,1358.4607843137255,378.86366919339065,136523,
44,76,0,0,1,44.0,0.0,52,52,0,1,52.0,0.0,44,0,DNS,1,76.0,0.0,84,84,0,1,84.0,0.0,76,
32,91,0,0,1,32.0,0.0,40,40,0,1,40.0,0.0,32,0,DNS,1,91.0,0.0,99,99,0,1,99.0,0.0,91,
41,57,0,0,1,41.0,0.0,49,49,0,1,49.0,0.0,41,0,DNS,1,57.0,0.0,65,65,0,1,65.0,0.0,57,
205,2656,1909,276,7,689.2857142857143,656.7242766261988,5245,225,20,21,249.76190476190476,395.0805710185859,4825,1,SSL,7,892.5714285714286,926.937023156352,6808,20,1450,28,243.14285714285714,382.5642536401765,6248,Google
250,169,0,0,1,250.0,0.0,258,258,0,1,258.0,0.0,250,0,LDAP,1,169.0,0.0,177,177,0,1,177.0,0.0,169,
189,6008,487,1070,3,225.66666666666666,200.09553273929487,817,209,20,7,116.71428571428571,128.97587181408807,677,1,SSL,3,2369.6666666666665,2607.423036043229,7329,20,1430,11,666.2727272727273,619.4088223913172,7109,
38,134,0,0,1,38.0,0.0,46,46,0,1,46.0,0.0,38,0,DNS,1,134.0,0.0,142,142,0,1,142.0,0.0,134,Google
326,7307,0,0,1,326.0,0.0,446,346,20,6,74.33333333333333,121.49302677748857,326,1,HTTP,1,7307.0,0.0,7467,20,1480,8,933.375,705.6927336844273,7307,
37,53,0,0,1,37.0,0.0,45,45,0,1,45.0,0.0,37,0,DNS,1,53.0,0.0,61,61,0,1,61.0,0.0,53,
48,48,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,1,48.0,0.0,56,56,0,1,56.0,0.0,48,
224,5239,495,470626,3,381.0,114.73738129601297,2923,244,20,89,32.842696629213485,61.933073496542946,1143,1,SSL,3,163488.33333333334,217212.7479290497,497369,20,1480,344,1445.8401162790697,212.9072309060439,490465,
28,44,0,0,1,28.0,0.0,36,36,0,1,36.0,0.0,28,0,DNS,1,44.0,0.0,52,52,0,1,52.0,0.0,44,
43,71,0,0,1,43.0,0.0,51,51,0,1,51.0,0.0,43,0,DNS,1,71.0,0.0,79,79,0,1,79.0,0.0,71,Google
217,2403,574,327,6,166.33333333333334,192.42718680639234,2382,237,20,56,42.535714285714285,53.94506606781778,998,1,SSL,5,17662.6,33925.68188614637,89713,20,1480,70,1281.6142857142856,471.1365071477129,88313,
41,92,0,0,1,41.0,0.0,49,49,0,1,49.0,0.0,41,0,DNS,1,92.0,0.0,100,100,0,1,100.0,0.0,92,
24,40,0,0,1,24.0,0.0,32,32,0,1,32.0,0.0,24,0,DNS,1,40.0,0.0,48,48,0,1,48.0,0.0,40,
66,0,0,0,1,66.0,0.0,82,41,41,2,41.0,0.0,66,0,LLMNR,0,,,0,0,0,0,,,0,
